0,-1.31200578697607e-25,-2.70399904802225e-25,1.5,1.73370242094328e-25,7.94687393137579e-26,-1.99085486105735e-30,-1,-1.26745856438572e-26,-4.84844484590641e-26,6.14520294389588e-52
0.01,2.81854452224302e-07,-6.17242797589198e-08,1.5,8.4478919303715e-05,-1.84927245793013e-05,2.24372947694872e-20,-0.999999612103662,-0.000188199934139902,-0.000860449466097454,1.61936595664867e-07
0.02,2.24864680801873e-06,-4.91831312678398e-07,1.5,0.000336678590156276,-7.35785866101643e-05,4.35177045879188e-20,-0.999998465781508,-0.000373398874007299,-0.00171143434065059,6.39048636176589e-07
0.03,7.56832611441514e-06,-1.65331810880815e-06,1.5,0.000754748443693953,-0.000164671168818661,6.32306031924546e-20,-0.999996586779687,-0.000555608818413385,-0.00255298370652384,1.41846510214424e-06
0.04,1.78903694746358e-05,-3.90333117403616e-06,1.5,0.00133684466001855,-0.000291186787646373,8.15655772279125e-20,-0.999994000440138,-0.000734841920957349,-0.00338512701291721,2.4875481610508e-06
0.05,3.48458495377485e-05,-7.59319384724381e-06,1.5,0.00208113016819739,-0.000452544493250396,9.8512426244777e-20,-0.99999073170232,-0.000911110484100347,-0.0042078940630085,3.83389193044234e-06
0.06,6.00475019883221e-05,-1.3068433637461e-05,1.5,0.00298577464626333,-0.000648166069503333,1.14061162699199e-19,-0.999986805105039,-0.00108442695336665,-0.00502131500183193,5.44532117977184e-06
0.07,9.50897930360818e-05,-2.06688095610211e-05,1.5,0.00404895452121478,-0.0008774760339933,1.28202011952998e-19,-0.999982244788369,-0.00125480391167135,-0.00582542030439218,7.30988997372451e-06
0.08,0.000141548986905564,-3.07283394787163e-05,1.5,0.00526885296901563,-0.00113990163802393,1.40925412273657e-19,-0.999977074495669,-0.00142225407377396,-0.00662024076401286,9.41588025978543e-06
0.09,0.000200983213325772,-4.35753274329527e-05,1.5,0.00664365991459536,-0.00143487286661435,1.5222201483433e-19,-0.999971317575687,-0.00158679028085709,-0.00740580748091812,1.17518004027452e-05
0.1,0.000274932535019832,-5.95323909849052e-05,1.5,0.00817157203184892,-0.00176182243849921,1.62082683713834e-19,-0.999964996984745,-0.00174842549522937,-0.0081821518510463,1.43063836687733e-05
0.11,0.000364919015194647,-7.89164885516727e-05,1.5,0.00985079274363684,-0.00212018580612868,1.70498495896655e-19,-0.99995813528901,-0.00190717279515177,-0.00894930555509407,1.70685866616237e-05
0.12,0.000472446785030552,-0.000102038946743433,1.5,0.0116795322217852,-0.00250940115566842,1.77460741272946e-19,-0.999950754666835,-0.00206304536978633,-0.00970730054778959,2.00275877134711e-05
0.13,0.000599002111170971,-0.0001292054877006,1.5,0.0136560073870854,-0.00292890940699962,1.82960922638525e-19,-0.999942876911176,-0.00221605651426616,-0.0104561690473931,2.31727852328129e-05
0.14,0.000746053463212073,-0.000160716256430974,1.5,0.0157784419092948,-0.00337815421371897,1.86990755694879e-19,-0.99993452343208,-0.00236621962488587,-0.0111959435254234,2.64937960118048e-05
0.15,0.00091505158119242,-0.000196865848146901,1.5,0.0180450662071358,-0.00385658196313867,1.89542169049159e-19,-0.999925715259233,-0.00251354819441106,-0.011926656696608,2.99804534953355e-05
0.16,0.00110742954308264,-0.000237943335602428,1.5,0.0204541174482966,-0.00436364177628644,1.90607304214187e-19,-0.999916473044575,-0.00265805580750585,-0.0126483415090556,3.36228060140817e-05
0.17,0.00132460283227505,-0.000284232296430454,1.5,0.023003839549431,-0.0048987855079055,1.90178515608449e-19,-0.999906817064973,-0.00279975613627718,-0.0133610311346489,3.74111149837205e-05
0.18,0.00156796940507335,-0.000336010840479892,1.5,0.0256924831761581,-0.0054614677464546,1.88248370556097e-19,-0.999896767224949,-0.00293866293593459,-0.014064758959655,4.13358530724139e-05
0.19,0.00183890975818225,-0.000393551637152814,1.5,0.0285183057430628,-0.00605114581410797,1.84809649286952e-19,-0.999886343059459,-0.00307479004056425,-0.0147595585755524,4.53877023386193e-05
0.2,0.00213878699619714,-0.000457121942741618,1.5,0.0314795714136952,-0.00666727976675538,1.798553449365e-19,-0.999875563736725,-0.00320815135901581,-0.0154454637700717,4.95575523412154e-05
0.21,0.00246894689909374,-0.000526983627766173,1.5,0.0345745511005711,-0.0073093323940021,1.73378663545897e-19,-0.999864448061111,-0.00333876087090078,-0.0161225085184479,5.38364982238757e-05
0.22,0.00283071798971776,-0.000603393204310981,1.5,0.037801522465172,-0.00797676921916891,1.65373024061961e-19,-0.999853014476043,-0.00346663262270103,-0.0167907269748823,5.82158387755583e-05
0.23,0.00322541160127454,-0.000686601853362327,1.5,0.0411587699179447,-0.0086690584992921,1.55832058337181e-19,-0.999841281066969,-0.00359178072398591,-0.0174501534642116,6.2687074468926e-05
0.24,0.00365432194481872,-0.000776855452145437,1.5,0.0446445846183015,-0.00938567122512348,1.4474961112971e-19,-0.999829265564359,-0.00371421934373667,-0.0181008224737816,6.72419054784463e-05
0.25,0.00411872617674389,-0.000874394601461635,1.5,0.0482572644746204,-0.0101260811211303,1.32119740103371e-19,-0.999816985346741,-0.00383396270677657,-0.018742768645523,7.18722296798701e-05
0.26,0.00461988446627226,-0.000979454653025493,1.5,0.0519951141442449,-0.0108897646454955,1.1793671582765e-19,-0.999804457443767,-0.00395102509030525,-0.019376026768228,7.65701406327255e-05
0.27,0.00515904006294429,-0.00109226573680199,1.5,0.0558564450334839,-0.0116762009901174,1.02195021777703e-19,-0.999791698539311,-0.0040654208205359,-0.0200006317700234,8.13279255474115e-05
